	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
140	41	calculator.net	Health	-12	00:02:29	3.27	0.3223	Nutrition
141	42	optimumnutrition.com	Health	3	00:03:27	3.71	0.1917	Nutrition
142	43	emagrecerrapido.info	Health	-10	00:00:59	1.37	0.8103	Nutrition
143	44	nutritienda.com	Health	10	00:04:39	5.08	0.6282	Nutrition
144	45	zumub.com	Health	new	00:02:05	4.35	0.3751	Nutrition
145	46	viveredonna.it	Health	1	00:02:30	2.31	0.7117	Nutrition
146	47	similac.com	Health	-7	00:02:33	3.93	0.6078	Nutrition
147	48	5lb.ru	Health	-4	00:04:03	4.71	0.4507	Nutrition
148	49	naturemade.com	Health	7	00:01:04	2.32	0.3435	Nutrition
149	50	choosemyplate.gov	Health	-19	00:04:05	4.13	0.5031	Nutrition
150	1	baiducontent.com	Health	=	00:08:50	6.94	0.4424	
151	2	nih.gov	Health	1	00:03:53	4.07	0.5782	
152	3	120ask.com	Health	1	00:01:39	1.73	0.6468	
153	4	healthline.com	Health	-2	00:03:23	10.68	0.2869	
154	5	webmd.com	Health	=	00:01:52	2.19	0.6463	Conditions and Diseases
155	6	xywy.com	Health	=	00:01:35	1.71	0.655	
156	7	babycenter.com	Health	=	00:02:27	2.01	0.6693000000000001	Child Health
157	8	xiangha.com	Health	=	00:02:24	2.31	0.47159999999999996	
158	9	haodf.com	Health	=	00:02:19	2.39	0.6338	
159	10	drugs.com	Health	=	00:01:48	2.36	0.6873	Pharmacy
160	11	39.net	Health	=	00:01:04	1.91	0.7245	
161	12	walgreens.com	Health	=	00:04:01	4.68	0.4235	
162	13	fh21.com.cn	Health	2	00:02:01	5.6	0.48700000000000004	
163	14	iherb.com	Health	2	00:06:59	8.77	0.3079	Products and Shopping
164	15	mayoclinic.org	Health	4	00:01:34	2.11	0.6918000000000001	
165	16	garmin.com	Health	-3	00:05:29	6.5	0.33899999999999997	Products and Shopping
166	17	cnkang.com	Health	3	00:02:16	5.29	0.5428999999999999	
167	18	cvs.com	Health	-1	00:02:39	4.6	0.3804	Pharmacy
168	19	medlineplus.gov	Health	-1	00:01:37	1.41	0.7702	
169	20	yaolan.com	Health	new	00:00:43	1.51	0.743	Child Health
170	21	elsevier.com	Health	6	00:03:35	4.22	0.5531	
171	22	medicinenet.com	Health	-1	00:09:42	4.1	0.4388	Education and Resources
172	23	tuasaude.com	Health	-1	00:02:04	1.8	0.6914	
173	24	alodokter.com	Health	2	00:02:00	1.68	0.7055	
174	25	doctissimo.fr	Health	=	00:02:24	2.13	0.6927	
175	26	tunwalai.com	Health	-3	00:24:23	12.97	0.2066	
176	27	fitbit.com	Health	-3	00:03:33	3.83	0.4113	Products and Shopping
177	28	nhs.uk	Health	=	00:01:31	2.14	0.6904	Education and Resources
